Date,Mkt,Rf,Rm-Rf,S,B,SMB,H,L,HML,U,D,UMD,S-Rf,B-Rf,H-Rf,L-Rf,U-Rf,D-Rf
193103,-0.064,0.0013,-0.0653,-0.050266667,-0.077266667,0.027,-0.07965,-0.0471,-0.03255,-0.03385,-0.1281,0.09425,-0.052766667,-0.079766667,-0.08215,-0.0496,-0.03635,-0.1306
193104,-0.0985,0.0008,-0.0993,-0.1526,-0.1048,-0.0478,-0.148,-0.1089,-0.0391,-0.08865,-0.2033,0.11465,-0.1551,-0.1073,-0.1505,-0.1114,-0.09115,-0.2058
193105,-0.1329,0.0009,-0.1338,-0.1066,-0.164133333,0.057533333,-0.1696,-0.1065,-0.0631,-0.0894,-0.1817,0.0923,-0.1091,-0.166633333,-0.1721,-0.109,-0.0919,-0.1842
193106,0.138,0.0008,0.1372,0.130366667,0.1813,-0.050933333,0.22435,0.11545,0.1089,0.09915,0.27355,-0.1744,0.127866667,0.1788,0.22185,0.11295,0.09665,0.27105
193107,-0.065,0.0006,-0.0656,-0.078,-0.095066667,0.017066667,-0.0984,-0.0606,-0.0378,-0.03745,-0.11755,0.0801,-0.0805,-0.097566667,-0.1009,-0.0631,-0.03995,-0.12005
193108,0.0023,0.0003,0.002,-0.016166667,-0.005,-0.011166667,-0.0255,0.0016,-0.0271,-0.02045,0.01775,-0.0382,-0.018666667,-0.0075,-0.028,-0.0009,-0.02295,0.01525
193109,-0.2901,0.0003,-0.2904,-0.310866667,-0.304333333,-0.006533333,-0.3453,-0.2843,-0.061,-0.27535,-0.3746,0.09925,-0.313366667,-0.306833333,-0.3478,-0.2868,-0.27785,-0.3771
193110,0.0792,0.001,0.0782,0.0723,0.0742,-0.0019,0.0813,0.07805,0.00325,0.0988,0.06955,0.02925,0.0698,0.0717,0.0788,0.07555,0.0963,0.06705
193111,-0.0888,0.0017,-0.0905,-0.080666667,-0.128766667,0.0481,-0.12535,-0.0698,-0.05555,-0.0725,-0.1493,0.0768,-0.083166667,-0.131266667,-0.12785,-0.0723,-0.075,-0.1518
193112,-0.1334,0.0012,-0.1346,-0.174533333,-0.1736,-0.000933333,-0.2174,-0.13,-0.0874,-0.0987,-0.2455,0.1468,-0.177033333,-0.1761,-0.2199,-0.1325,-0.1012,-0.248
193201,-0.0108,0.0023,-0.0131,0.0536,0.021666667,0.031933333,0.09265,-0.01295,0.1056,-0.00695,0.0977,-0.10465,0.0511,0.019166667,0.09015,-0.01545,-0.00945,0.0952
193202,0.056,0.0023,0.0537,0.020233333,0.0313,-0.011066667,0.00135,0.0526,-0.05125,0.0615,0.04035,0.02115,0.017733333,0.0288,-0.00115,0.0501,0.059,0.03785
